hart,time
675,2023-01-23 22:40:54.100479
0,2023-01-23 22:40:54.101348
0,2023-01-23 22:40:54.102312
0,2023-01-23 22:40:54.103235
343,2023-01-23 22:40:54.103905
676,2023-01-23 22:40:54.104557
71,2023-01-23 22:40:54.105438
0,2023-01-23 22:40:54.106307
0,2023-01-23 22:40:54.106864
675,2023-01-23 22:40:54.107786
676,2023-01-23 22:40:54.108101
0,2023-01-23 22:40:54.108784
0,2023-01-23 22:40:54.109385
0,2023-01-23 22:40:54.109427
674,2023-01-23 22:40:54.110895
676,2023-01-23 22:40:54.111414
0,2023-01-23 22:40:54.112011
0,2023-01-23 22:40:54.201796
0,2023-01-23 22:40:54.201871
674,2023-01-23 22:40:54.203942
676,2023-01-23 22:40:54.204658
0,2023-01-23 22:40:54.205191
0,2023-01-23 22:40:54.205228
0,2023-01-23 22:40:54.205831
663,2023-01-23 22:40:54.206837
676,2023-01-23 22:40:54.208061
0,2023-01-23 22:40:54.208098
0,2023-01-23 22:40:54.208594
0,2023-01-23 22:40:54.208882
589,2023-01-23 22:40:54.209465
675,2023-01-23 22:40:54.211553
0,2023-01-23 22:40:54.211599
0,2023-01-23 22:40:54.212848
0,2023-01-23 22:40:54.213518
487,2023-01-23 22:40:54.214290
675,2023-01-23 22:40:54.214902
85,2023-01-23 22:40:54.215537
0,2023-01-23 22:40:54.216080
0,2023-01-23 22:40:54.216548
675,2023-01-23 22:40:54.216960
675,2023-01-23 22:40:54.217506
0,2023-01-23 22:40:54.218105
0,2023-01-23 22:40:54.218443
0,2023-01-23 22:40:54.218599
675,2023-01-23 22:40:54.218918
676,2023-01-23 22:40:54.281872
0,2023-01-23 22:40:54.282419
0,2023-01-23 22:40:54.283108
0,2023-01-23 22:40:54.283705
671,2023-01-23 22:40:54.284212
676,2023-01-23 22:40:54.284854
0,2023-01-23 22:40:54.285710
0,2023-01-23 22:40:54.286483
0,2023-01-23 22:40:54.286520
493,2023-01-23 22:40:54.287287
676,2023-01-23 22:40:54.287505
0,2023-01-23 22:40:54.287922
0,2023-01-23 22:40:54.288014
0,2023-01-23 22:40:54.288519
459,2023-01-23 22:40:54.289141
676,2023-01-23 22:40:54.290705
68,2023-01-23 22:40:54.291333
0,2023-01-23 22:40:54.291669
0,2023-01-23 22:40:54.291688
675,2023-01-23 22:40:54.390525
675,2023-01-23 22:40:54.391401
0,2023-01-23 22:40:54.392210
0,2023-01-23 22:40:54.392250
0,2023-01-23 22:40:54.393315
674,2023-01-23 22:40:54.393730
676,2023-01-23 22:40:54.394322
0,2023-01-23 22:40:54.394368
0,2023-01-23 22:40:54.395181
0,2023-01-23 22:40:54.396100
673,2023-01-23 22:40:54.396643
675,2023-01-23 22:40:54.397505
0,2023-01-23 22:40:54.398370
0,2023-01-23 22:40:54.398810
0,2023-01-23 22:40:54.399725
589,2023-01-23 22:40:54.400660
675,2023-01-23 22:40:54.401422
0,2023-01-23 22:40:54.403001
0,2023-01-23 22:40:54.403469
0,2023-01-23 22:40:54.404427
510,2023-01-23 22:40:54.405252
675,2023-01-23 22:40:54.406072
83,2023-01-23 22:40:54.410125
0,2023-01-23 22:40:54.410892
0,2023-01-23 22:40:54.411490
675,2023-01-23 22:40:54.412763
676,2023-01-23 22:40:54.413376
0,2023-01-23 22:40:54.413881
0,2023-01-23 22:40:54.414560
0,2023-01-23 22:40:54.414594
675,2023-01-23 22:40:54.489803
676,2023-01-23 22:40:54.490981
0,2023-01-23 22:40:54.491583
0,2023-01-23 22:40:54.492109
0,2023-01-23 22:40:54.492144
673,2023-01-23 22:40:54.492933
676,2023-01-23 22:40:54.493535
0,2023-01-23 22:40:54.494423
0,2023-01-23 22:40:54.494464
0,2023-01-23 22:40:54.495085
617,2023-01-23 22:40:54.495787
676,2023-01-23 22:40:54.496826
0,2023-01-23 22:40:54.496863
0,2023-01-23 22:40:54.497289
0,2023-01-23 22:40:54.498601
550,2023-01-23 22:40:54.499221
675,2023-01-23 22:40:54.500003
98,2023-01-23 22:40:54.500521
0,2023-01-23 22:40:54.500555
0,2023-01-23 22:40:54.501088
675,2023-01-23 22:40:54.501606
675,2023-01-23 22:40:54.503161
0,2023-01-23 22:40:54.503199
0,2023-01-23 22:40:54.581165
0,2023-01-23 22:40:54.581682
675,2023-01-23 22:40:54.582473
676,2023-01-23 22:40:54.582790
0,2023-01-23 22:40:54.583373
0,2023-01-23 22:40:54.584009
0,2023-01-23 22:40:54.585222
675,2023-01-23 22:40:54.585916
676,2023-01-23 22:40:54.586636
0,2023-01-23 22:40:54.587025
0,2023-01-23 22:40:54.587723
0,2023-01-23 22:40:54.589082
642,2023-01-23 22:40:54.589658
675,2023-01-23 22:40:54.590271
0,2023-01-23 22:40:54.591093
0,2023-01-23 22:40:54.591863
0,2023-01-23 22:40:54.591914
557,2023-01-23 22:40:54.593287
676,2023-01-23 22:40:54.593837
90,2023-01-23 22:40:54.594393
0,2023-01-23 22:40:54.595183
0,2023-01-23 22:40:54.595220
676,2023-01-23 22:40:54.679177
676,2023-01-23 22:40:54.679941
0,2023-01-23 22:40:54.680278
0,2023-01-23 22:40:54.680307
0,2023-01-23 22:40:54.680311
675,2023-01-23 22:40:54.681138
676,2023-01-23 22:40:54.681528
0,2023-01-23 22:40:54.681930
0,2023-01-23 22:40:54.682150
0,2023-01-23 22:40:54.683050
673,2023-01-23 22:40:54.683406
676,2023-01-23 22:40:54.684527
0,2023-01-23 22:40:54.684563
0,2023-01-23 22:40:54.685342
0,2023-01-23 22:40:54.685824
641,2023-01-23 22:40:54.686800
675,2023-01-23 22:40:54.687654
0,2023-01-23 22:40:54.688562
0,2023-01-23 22:40:54.689298
0,2023-01-23 22:40:54.689740
472,2023-01-23 22:40:54.690611
